#5,5V	2,5A
10	0.04
20	0.09
30	0.15
40	0.22
50	0.31
60	0.41
70	0.51
80	0.63
90	0.73
100	0.86
110	0.97
120	1.1
130	1.23
140	1.38
150	1.56
160	1.71
170	1.83
180	1.97
190	2.11
200	2.25
210	2.39
220	2.53
230	2.66
240	2.8
250	2.93
