#4V	2,1A
10	0.02
15	0.04
20	0.06
25	0.09
30	0.11
35	0.14
40	0.17
45	0.2
50	0.22
55	0.25
60	0.28
65	0.32
70	0.35
75	0.38
80	0.4
85	0.43
90	0.44
95	0.48
100	0.5
110	0.53
120	0.55
130	0.56
140	0.58
150	0.59
160	0.6
200	0.62
250	0.63
