#5V	2,4A
10	0.03
20	0.08
30	0.14
40	0.21
50	0.29
60	0.37
70	0.47
80	0.58
90	0.69
100	0.81
110	0.92
120	0.98
130	1.1
140	1.24
150	1.36
160	1.47
170	1.55
180	1.64
190	1.73
200	1.82
210	1.92
220	2
230	2.07
240	2.15
250	2.22
