0	1
1	1
2	1
3	1
4	1
5	2
6	2
7	3
8	3
9	1
10	1
11	2
12	5
13	7
14	8
15	6
16	3
17	1
18	4
19	10
20	15
21	15
21.5	14
22	11
22.5	8
23	4
23.5	2
24	1
24.5	3
25	7
25.5	11
26	16
26.5	19
27	21
27.5	21
28	20
28.5	19
29	15
29.5	11
30	6
30.5	2
31	1
31.5	4
32	9
32.5	15
33	19
33.5	21
34	24
34.5	24
35	23
35.5	20
36	18
36.5	12
37	5
37.5	2
38	2
38.5	4
39	9
39.5	15
40	18
40.5	17
41	17
41.1	28
41.20	32
41.3	38
41.4	46
41.5	55
41.6	44
41.7	48
41.8	43
41.9	31
42	16
42.5	23
43	19
43.5	7
44	6
44.5	2
45	1
45.5	4
46	10
46.5	15
47	20
47.5	22
48	24
48.5	24
49	23
49.5	20
50	16
50.5	11
51	4
