#f	USS
10.14	15
35	13.6
75	10.8
125	7.6
175	6
225	4.8
275	4
300	3.6
600	1.9
900	1.3
1200	1
1500	0.8
1800	0.68
2100	0.58
2400	0.52
2700	0.44
3000	0.4
3300	0.38
3600	0.34
3900	0.32
4200	0.3
4500	0.28
4800	0.26
5200	0.24
5500	0.22
6000	0.21
6500	0.19
7000	0.18
8000	0.16
9000	0.14
10000	0.13
20000	0.07
30000	0.04
40000	0.032
50000	0.026
