#x	    y	    d
15.80	61.20	1.30
14.00	59.00	1.30
30.40	13.40	6.00
43.80	21.80	5.00
57.30	30.20	3.90
72.90	38.60	3.00
87.80	46.60	3.00
102.80	54.65	3.00
118.00	62.70	3.00
133.00	70.70	3.00
129.50	11.40	10.00
149.50	79.50	0.00
