# T(C) t1 t2 t3
1   20.5    131.2 131.1 130.6
2   28.0    109.8 109.1 109.6
3   35.7    93.3  92.7  92.4
4   43.5    78.3  80.1  79.6
5   51.4    70.5  70.5  70.6
6   59.2    62.4  62.9  62.5
7   67.1    55.0  55.1  55.0
8   75.0    49.2  49.0  48.9
9   82.9    44.0  45.2  44.5
10  88.9    42.5  42.8  42.0
