#Eisen		links		rechts	
#x in m	y in mm	x in m	y im mm	x in m	y in mm
0.5	1.93	0.52	0.21	0.03	0.02
0.45	1.71	0.42	0.51	0.07	0.07
0.4	1.47	0.45	0.68	0.15	0.72
0.35	1.16	0.4	1.05	0.2	1.11
0.3	0.87	0.35	1.23	0.25	1.31
0.25	0.68	0	0	0	0
0.2	0.48	0	0	0	0
0.15	0.29	0	0	0	0
0.1	0.14	0	0	0	0
0.05	0.01	0	0	0	0
